,dataset,algorithm,support,time,memory
0,Chess,FIM Apriori,0.7,0.07616646289825436,4.05703125
1,Chess,FIM Apriori,0.8,0.02388052940368649,0.02890625
2,Chess,FIM Apriori,0.9,0.00431411266326899,0.02265625
3,Chess,FIM Eclat,0.7,0.028142428398132257,1.755859375
4,Chess,FIM Eclat,0.8,0.01877713203430171,0.031640625
5,Chess,FIM Eclat,0.9,0.00402743816375727,0.023046875
6,Chess,My Adv. Eclat,0.7,0.09860985279083248,20.364453125
7,Chess,My Adv. Eclat,0.8,0.0336384773254394,0.031640625
8,Chess,My Adv. Eclat,0.9,0.011346030235290499,0.023046875
9,Chess,My Eclat,0.7,3.396635723114014,37.30859375
10,Chess,My Eclat,0.8,0.6033520936965943,13.718359375
11,Chess,My Eclat,0.9,0.06803371906280513,7.2703125
12,Chess,My Postdiffset,0.7,0.8370023965835571,306.31796875
13,Chess,My Postdiffset,0.8,0.08519399166107174,3.728125
14,Chess,My Postdiffset,0.9,0.0283631563186645,0.026953125
15,Kosarak,FIM Apriori,0.1,0.9553537607192993,60.959375
16,Kosarak,FIM Apriori,0.2,0.9050601720809937,1.75859375
17,Kosarak,FIM Apriori,0.3,0.9043287992477417,0.481640625
18,Kosarak,FIM Apriori,0.4,0.8404482841491699,0.2921875
19,Kosarak,FIM Apriori,0.5,0.7697822570800781,0.125390625
20,Kosarak,FIM Apriori,0.6,0.776129174232483,4.87421875
21,Kosarak,FIM Apriori,0.7,0.6772965431213379,0.153125
22,Kosarak,FIM Apriori,0.8,0.6709264278411865,0.398046875
23,Kosarak,FIM Apriori,0.9,0.6828328132629394,0.2625
24,Kosarak,FIM Eclat,0.1,0.9348104476928711,0.192578125
25,Kosarak,FIM Eclat,0.2,0.9030054569244385,0.137109375
26,Kosarak,FIM Eclat,0.3,0.8902145385742187,0.08671875
27,Kosarak,FIM Eclat,0.4,0.8457584381103516,0.03984375
28,Kosarak,FIM Eclat,0.5,0.7860588073730469,5.937890625
29,Kosarak,FIM Eclat,0.6,0.7802107095718384,0.098046875
30,Kosarak,FIM Eclat,0.7,0.6692629098892212,0.07421875
31,Kosarak,FIM Eclat,0.8,0.6702358245849609,0.0875
32,Kosarak,FIM Eclat,0.9,0.6643243074417114,0.105859375
33,Kosarak,My Adv. Eclat,0.1,5.77804160118103,4679.867578125
34,Kosarak,My Adv. Eclat,0.2,5.771034121513367,4871.462109375
35,Kosarak,My Adv. Eclat,0.3,5.758251118659973,4871.257421875
36,Kosarak,My Adv. Eclat,0.4,5.807023692131042,4871.537890625
37,Kosarak,My Adv. Eclat,0.5,5.799577164649963,4871.38203125
38,Kosarak,My Adv. Eclat,0.6,5.808240175247192,4871.266015625
39,Kosarak,My Adv. Eclat,0.7,5.792676711082459,4871.36328125
40,Kosarak,My Adv. Eclat,0.8,5.821668910980224,4871.277734375
41,Kosarak,My Adv. Eclat,0.9,5.827399516105652,4871.230078125
42,Kosarak,My Eclat,0.1,2.900247025489807,422.6796875
43,Kosarak,My Eclat,0.2,2.7942715883255005,205.737109375
44,Kosarak,My Eclat,0.3,2.7853162050247193,228.36171875
45,Kosarak,My Eclat,0.4,2.7738616943359373,194.42890625
46,Kosarak,My Eclat,0.5,2.723977732658386,187.892578125
47,Kosarak,My Eclat,0.6,2.745828914642334,179.7109375
48,Kosarak,My Eclat,0.7,2.767023706436157,189.13203125
49,Kosarak,My Eclat,0.8,2.780344343185425,177.375390625
50,Kosarak,My Eclat,0.9,2.7504005432128906,177.196875
51,Kosarak,My Postdiffset,0.1,2.877542519569397,197.312890625
52,Kosarak,My Postdiffset,0.2,2.831413245201111,204.582421875
53,Kosarak,My Postdiffset,0.3,2.852587175369263,194.313671875
54,Kosarak,My Postdiffset,0.4,2.765351939201355,185.441015625
55,Kosarak,My Postdiffset,0.5,2.733255648612976,175.358984375
56,Kosarak,My Postdiffset,0.6,2.738954472541809,174.93984375
57,Kosarak,My Postdiffset,0.7,2.766426515579224,150.615625
58,Kosarak,My Postdiffset,0.8,2.739426350593567,173.319921875
59,Kosarak,My Postdiffset,0.9,2.74979407787323,209.7953125
60,Mushrooms,FIM Apriori,0.7,0.00688068866729732,0.0234375
61,Mushrooms,FIM Apriori,0.8,0.006761240959167419,0.0234375
62,Mushrooms,FIM Apriori,0.9,0.00742018222808833,0.022265625
63,Mushrooms,FIM Eclat,0.7,0.00700418949127192,0.023046875
64,Mushrooms,FIM Eclat,0.8,0.00699200630187984,0.023046875
65,Mushrooms,FIM Eclat,0.9,0.00678226947784419,0.022265625
66,Mushrooms,My Adv. Eclat,0.7,0.018571662902831982,0.023046875
67,Mushrooms,My Adv. Eclat,0.8,0.01867063045501704,0.0234375
68,Mushrooms,My Adv. Eclat,0.9,0.01839799880981442,0.0234375
69,Mushrooms,My Eclat,0.7,0.0366320133209228,5.4015625
70,Mushrooms,My Eclat,0.8,0.033032107353210396,0.0234375
71,Mushrooms,My Eclat,0.9,0.03227295875549312,0.0234375
72,Mushrooms,My Postdiffset,0.7,0.03272464275360102,0.0234375
73,Mushrooms,My Postdiffset,0.8,0.03233096599578853,0.0234375
74,Mushrooms,My Postdiffset,0.9,0.03181688785552974,0.0234375
75,Retail,FIM Apriori,0.1,0.0816087961196899,1.524609375
76,Retail,FIM Apriori,0.2,0.07776737213134763,0.058984375
77,Retail,FIM Apriori,0.3,0.07944025993347163,0.040234375
78,Retail,FIM Apriori,0.4,0.07649176120758051,0.02734375
79,Retail,FIM Apriori,0.5,0.0748615741729736,0.39609375
80,Retail,FIM Apriori,0.6,0.07303490638732905,0.025
81,Retail,FIM Apriori,0.7,0.07327258586883541,0.13359375
82,Retail,FIM Apriori,0.8,0.07370364665985105,0.053515625
83,Retail,FIM Apriori,0.9,0.07364294528961178,0.023828125
84,Retail,FIM Eclat,0.1,0.07802584171295163,0.05703125
85,Retail,FIM Eclat,0.2,0.07663147449493403,0.094921875
86,Retail,FIM Eclat,0.3,0.0762907743453979,0.42109375
87,Retail,FIM Eclat,0.4,0.07608056068420405,0.023828125
88,Retail,FIM Eclat,0.5,0.07495777606964107,0.0234375
89,Retail,FIM Eclat,0.6,0.07561316490173335,0.036328125
90,Retail,FIM Eclat,0.7,0.07333860397338862,0.349609375
91,Retail,FIM Eclat,0.8,0.07316682338714595,0.97890625
92,Retail,FIM Eclat,0.9,0.07481899261474605,0.046875
93,Retail,My Adv. Eclat,0.1,0.27349166870117186,150.33828125
94,Retail,My Adv. Eclat,0.2,0.24046704769134516,17.39765625
95,Retail,My Adv. Eclat,0.3,0.24089548587799067,17.235546875
96,Retail,My Adv. Eclat,0.4,0.24114303588867186,17.1234375
97,Retail,My Adv. Eclat,0.5,0.24147572517395016,17.023828125
98,Retail,My Adv. Eclat,0.6,0.24112153053283686,17.130859375
99,Retail,My Adv. Eclat,0.7,0.24225270748138422,17.128515625
100,Retail,My Adv. Eclat,0.8,0.24207265377044673,17.079296875
101,Retail,My Adv. Eclat,0.9,0.24047367572784423,16.92578125
102,Retail,My Eclat,0.1,0.3017431259155273,32.3984375
103,Retail,My Eclat,0.2,0.2946125268936157,14.056640625
104,Retail,My Eclat,0.3,0.28949589729309083,13.659765625
105,Retail,My Eclat,0.4,0.29029757976531984,13.19375
106,Retail,My Eclat,0.5,0.2869323015213013,12.980859375
107,Retail,My Eclat,0.6,0.28786025047302244,13.070703125
108,Retail,My Eclat,0.7,0.28992233276367185,12.727734375
109,Retail,My Eclat,0.8,0.28610692024230955,14.93046875
110,Retail,My Eclat,0.9,0.3029292821884155,15.339453125
111,Retail,My Postdiffset,0.1,0.29547250270843506,12.24140625
112,Retail,My Postdiffset,0.2,0.2942089796066284,12.91875
113,Retail,My Postdiffset,0.3,0.29444286823272703,12.333984375
114,Retail,My Postdiffset,0.4,0.2917321681976318,12.381640625
115,Retail,My Postdiffset,0.5,0.287505054473877,12.161328125
116,Retail,My Postdiffset,0.6,0.29209420680999754,12.029296875
117,Retail,My Postdiffset,0.7,0.28989613056182856,12.166796875
118,Retail,My Postdiffset,0.8,0.2868326902389526,12.247265625
119,Retail,My Postdiffset,0.9,0.2873806238174438,14.951171875
