iteration,dataset,algorithm,support,time,memory
1,Retail,My Eclat,0.1,0.33016180992126465,52.69921875
1,Retail,My Eclat,0.2,0.30255985260009766,55.37890625
1,Retail,My Eclat,0.3,0.2997410297393799,53.140625
1,Retail,My Eclat,0.4,0.30098390579223633,51.328125
1,Retail,My Eclat,0.5,0.2971804141998291,50.25
1,Retail,My Eclat,0.6,0.2936208248138428,49.35546875
1,Retail,My Eclat,0.7,0.2931637763977051,47.1171875
1,Retail,My Eclat,0.8,0.29024839401245117,41.33203125
1,Retail,My Eclat,0.9,0.4311344623565674,41.203125
1,Retail,My Postdiffset,0.1,0.2957582473754883,41.07421875
1,Retail,My Postdiffset,0.2,0.29404449462890625,42.234375
1,Retail,My Postdiffset,0.3,0.30174803733825684,40.66015625
1,Retail,My Postdiffset,0.4,0.2905392646789551,41.5
1,Retail,My Postdiffset,0.5,0.2959127426147461,41.37109375
1,Retail,My Postdiffset,0.6,0.29027462005615234,39.25390625
1,Retail,My Postdiffset,0.7,0.2956724166870117,41.3046875
1,Retail,My Postdiffset,0.8,0.2890768051147461,42.19140625
1,Retail,My Postdiffset,0.9,0.28965330123901367,40.93359375
1,Retail,My Adv. Eclat,0.1,0.2662479877471924,169.00390625
1,Retail,My Adv. Eclat,0.2,0.2663424015045166,170.03125
1,Retail,My Adv. Eclat,0.3,0.2622551918029785,170.33984375
1,Retail,My Adv. Eclat,0.4,0.2662210464477539,170.09765625
1,Retail,My Adv. Eclat,0.5,0.26572132110595703,169.83203125
1,Retail,My Adv. Eclat,0.6,0.26960253715515137,170.90234375
1,Retail,My Adv. Eclat,0.7,0.26842236518859863,170.89453125
1,Retail,My Adv. Eclat,0.8,0.268707275390625,170.34765625
1,Retail,My Adv. Eclat,0.9,0.2641723155975342,168.8671875
1,Retail,FIM Apriori,0.1,0.08051776885986328,0.01953125
1,Retail,FIM Apriori,0.2,0.0776677131652832,0.0390625
1,Retail,FIM Apriori,0.3,0.07710051536560059,0.0234375
1,Retail,FIM Apriori,0.4,0.07718062400817871,0.03515625
1,Retail,FIM Apriori,0.5,0.07643866539001465,3.7109375
1,Retail,FIM Apriori,0.6,0.07415890693664551,0.0234375
1,Retail,FIM Apriori,0.7,0.07376837730407715,0.0234375
1,Retail,FIM Apriori,0.8,0.0746910572052002,0.0234375
1,Retail,FIM Apriori,0.9,0.07538199424743652,0.0234375
1,Retail,FIM Eclat,0.1,0.08069634437561035,0.12890625
1,Retail,FIM Eclat,0.2,0.07950043678283691,0.0234375
1,Retail,FIM Eclat,0.3,0.0768744945526123,3.70703125
1,Retail,FIM Eclat,0.4,0.07699084281921387,0.0234375
1,Retail,FIM Eclat,0.5,0.07512831687927246,0.01953125
1,Retail,FIM Eclat,0.6,0.09497213363647461,0.0234375
1,Retail,FIM Eclat,0.7,0.07426023483276367,3.2578125
1,Retail,FIM Eclat,0.8,0.07365131378173828,9.56640625
1,Retail,FIM Eclat,0.9,0.07216572761535645,0.2265625
1,Kosarak,My Eclat,0.1,2.845754384994507,442.43359375
1,Kosarak,My Eclat,0.2,2.8039157390594482,408.8984375
1,Kosarak,My Eclat,0.3,2.7668039798736572,410.1875
1,Kosarak,My Eclat,0.4,2.7384862899780273,393.46484375
1,Kosarak,My Eclat,0.5,2.7487592697143555,388.65234375
1,Kosarak,My Eclat,0.6,2.7011377811431885,304.21875
1,Kosarak,My Eclat,0.7,2.7088253498077393,391.5234375
1,Kosarak,My Eclat,0.8,2.6732003688812256,295.4296875
1,Kosarak,My Eclat,0.9,2.6998491287231445,291.48828125
1,Kosarak,My Postdiffset,0.1,2.886442184448242,302.45703125
1,Kosarak,My Postdiffset,0.2,2.752990245819092,407.55859375
1,Kosarak,My Postdiffset,0.3,2.754336357116699,297.9140625
1,Kosarak,My Postdiffset,0.4,2.6965088844299316,284.20703125
1,Kosarak,My Postdiffset,0.5,2.7013309001922607,264.63671875
1,Kosarak,My Postdiffset,0.6,2.6878294944763184,258.515625
1,Kosarak,My Postdiffset,0.7,2.7185754776000977,253.5078125
1,Kosarak,My Postdiffset,0.8,2.7175045013427734,243.2109375
1,Kosarak,My Postdiffset,0.9,2.6948585510253906,377.51953125
1,Kosarak,My Adv. Eclat,0.1,5.875994920730591,4735.96875
1,Kosarak,My Adv. Eclat,0.2,5.30962347984314,4871.7890625
1,Kosarak,My Adv. Eclat,0.3,5.356197357177734,4870.1484375
1,Kosarak,My Adv. Eclat,0.4,5.4611899852752686,4871.953125
1,Kosarak,My Adv. Eclat,0.5,5.503397703170776,4872.0234375
1,Kosarak,My Adv. Eclat,0.6,5.769615888595581,4871.64453125
1,Kosarak,My Adv. Eclat,0.7,5.630481481552124,4871.76953125
1,Kosarak,My Adv. Eclat,0.8,5.721829175949097,4871.53125
1,Kosarak,My Adv. Eclat,0.9,5.679748773574829,4871.6015625
1,Kosarak,FIM Apriori,0.1,0.9527618885040283,62.8828125
1,Kosarak,FIM Apriori,0.2,0.9099273681640625,0.5078125
1,Kosarak,FIM Apriori,0.3,0.899193525314331,0.13671875
1,Kosarak,FIM Apriori,0.4,0.7986273765563965,0.0625
1,Kosarak,FIM Apriori,0.5,0.7617626190185547,0.19140625
1,Kosarak,FIM Apriori,0.6,0.745894193649292,0.03515625
1,Kosarak,FIM Apriori,0.7,0.6561908721923828,0.0546875
1,Kosarak,FIM Apriori,0.8,0.6584470272064209,0.71484375
1,Kosarak,FIM Apriori,0.9,0.6818251609802246,0.3359375
1,Kosarak,FIM Eclat,0.1,0.9429185390472412,0.03515625
1,Kosarak,FIM Eclat,0.2,0.920053243637085,0.0546875
1,Kosarak,FIM Eclat,0.3,0.8521952629089355,0.0390625
1,Kosarak,FIM Eclat,0.4,0.8313262462615967,0.0234375
1,Kosarak,FIM Eclat,0.5,0.7627520561218262,0.03515625
1,Kosarak,FIM Eclat,0.6,0.7524638175964355,0.0234375
1,Kosarak,FIM Eclat,0.7,0.659700870513916,0.0546875
1,Kosarak,FIM Eclat,0.8,0.663959264755249,0.01953125
1,Kosarak,FIM Eclat,0.9,0.6586229801177979,0.0234375
1,Chess,My Eclat,0.7,3.2835147380828857,46.1015625
1,Chess,My Eclat,0.8,0.5951592922210693,16.33203125
1,Chess,My Eclat,0.9,0.06815361976623535,11.01171875
1,Chess,My Postdiffset,0.7,0.8292090892791748,316.3671875
1,Chess,My Postdiffset,0.8,0.08352971076965332,9.6796875
1,Chess,My Postdiffset,0.9,0.02867889404296875,0.03515625
1,Chess,My Adv. Eclat,0.7,0.09889960289001465,29.0546875
1,Chess,My Adv. Eclat,0.8,0.03429818153381348,0.03125
1,Chess,My Adv. Eclat,0.9,0.011057138442993164,0.0234375
1,Chess,FIM Apriori,0.7,0.07631254196166992,8.20703125
1,Chess,FIM Apriori,0.8,0.023225069046020508,0.03125
1,Chess,FIM Apriori,0.9,0.004143953323364258,0.0234375
1,Chess,FIM Eclat,0.7,0.02993297576904297,6.96875
1,Chess,FIM Eclat,0.8,0.018803834915161133,0.03125
1,Chess,FIM Eclat,0.9,0.003919363021850586,0.0234375
1,Mushrooms,My Eclat,0.7,0.03594207763671875,2.65234375
1,Mushrooms,My Eclat,0.8,0.03289318084716797,0.0234375
1,Mushrooms,My Eclat,0.9,0.03212547302246094,0.0234375
1,Mushrooms,My Postdiffset,0.7,0.03297281265258789,0.0234375
1,Mushrooms,My Postdiffset,0.8,0.03198671340942383,0.0234375
1,Mushrooms,My Postdiffset,0.9,0.0314936637878418,0.0234375
1,Mushrooms,My Adv. Eclat,0.7,0.01851367950439453,0.0234375
1,Mushrooms,My Adv. Eclat,0.8,0.01834249496459961,0.0234375
1,Mushrooms,My Adv. Eclat,0.9,0.018051624298095703,0.0234375
1,Mushrooms,FIM Apriori,0.7,0.006753206253051758,0.0234375
1,Mushrooms,FIM Apriori,0.8,0.006613492965698242,0.0234375
1,Mushrooms,FIM Apriori,0.9,0.006567239761352539,0.01953125
